https://data.sfgov.org/stories/s/fjki-2fab#covid-19-testing,,,
,,,
,,,
date,county,result,count
2020-03-02,San Francisco,positive,0
2020-03-02,San Francisco,negative,3
2020-03-03,San Francisco,positive,0
2020-03-03,San Francisco,negative,2
2020-03-04,San Francisco,positive,0
2020-03-04,San Francisco,negative,3
2020-03-05,San Francisco,positive,2
2020-03-05,San Francisco,negative,6
2020-03-06,San Francisco,positive,5
2020-03-06,San Francisco,negative,13
2020-03-07,San Francisco,positive,1
2020-03-07,San Francisco,negative,17
2020-03-08,San Francisco,positive,6
2020-03-08,San Francisco,negative,15
2020-03-09,San Francisco,positive,1
2020-03-09,San Francisco,negative,2
2020-03-10,San Francisco,positive,1
2020-03-10,San Francisco,negative,25
2020-03-11,San Francisco,positive,8
2020-03-11,San Francisco,negative,18
2020-03-12,San Francisco,positive,6
2020-03-12,San Francisco,negative,45
2020-03-13,San Francisco,positive,5
2020-03-13,San Francisco,negative,72
2020-03-14,San Francisco,positive,1
2020-03-14,San Francisco,negative,39
2020-03-15,San Francisco,positive,4
2020-03-15,San Francisco,negative,15
2020-03-16,San Francisco,positive,12
2020-03-16,San Francisco,negative,98
2020-03-17,San Francisco,positive,7
2020-03-17,San Francisco,negative,67
2020-03-18,San Francisco,positive,11
2020-03-18,San Francisco,negative,68
2020-03-19,San Francisco,positive,12
2020-03-19,San Francisco,negative,112
2020-03-20,San Francisco,positive,13
2020-03-20,San Francisco,negative,77
2020-03-21,San Francisco,positive,23
2020-03-21,San Francisco,negative,176
2020-03-22,San Francisco,positive,26
2020-03-22,San Francisco,negative,181
2020-03-23,San Francisco,positive,34
2020-03-23,San Francisco,negative,183
2020-03-24,San Francisco,positive,30
2020-03-24,San Francisco,negative,148
2020-03-25,San Francisco,positive,52
2020-03-25,San Francisco,negative,391
2020-03-26,San Francisco,positive,41
2020-03-26,San Francisco,negative,233
2020-03-27,San Francisco,positive,36
2020-03-27,San Francisco,negative,362
2020-03-28,San Francisco,positive,33
2020-03-28,San Francisco,negative,244
2020-03-29,San Francisco,positive,46
2020-03-29,San Francisco,negative,347
2020-03-30,San Francisco,positive,37
2020-03-30,San Francisco,negative,248
2020-03-31,San Francisco,positive,27
2020-03-31,San Francisco,negative,234
2020-04-01,San Francisco,positive,45
2020-04-01,San Francisco,negative,226
2020-04-02,San Francisco,positive,56
2020-04-02,San Francisco,negative,281
2020-04-03,San Francisco,positive,65
2020-04-03,San Francisco,negative,377
2020-04-04,San Francisco,positive,23
2020-04-04,San Francisco,negative,167
2020-04-05,San Francisco,positive,23
2020-04-05,San Francisco,negative,214
2020-04-06,San Francisco,positive,54
2020-04-06,San Francisco,negative,355
2020-04-07,San Francisco,positive,42
2020-04-07,San Francisco,negative,264
2020-04-08,San Francisco,positive,65
2020-04-08,San Francisco,negative,346
2020-04-09,San Francisco,positive,71
2020-04-09,San Francisco,negative,507
2020-04-10,San Francisco,positive,71
2020-04-10,San Francisco,negative,369
2020-04-11,San Francisco,positive,35
2020-04-11,San Francisco,negative,350
2020-04-12,San Francisco,positive,45
2020-04-12,San Francisco,negative,269
2020-04-13,San Francisco,positive,64
2020-04-13,San Francisco,negative,378
2020-04-14,San Francisco,positive,41
2020-04-14,San Francisco,negative,447
2020-04-15,San Francisco,positive,66
2020-04-15,San Francisco,negative,466
2020-04-16,San Francisco,positive,60
2020-04-16,San Francisco,negative,445
2020-04-17,San Francisco,positive,45
2020-04-17,San Francisco,negative,409
2020-04-18,San Francisco,positive,17
2020-04-18,San Francisco,negative,175
2020-04-19,San Francisco,positive,41
2020-04-19,San Francisco,negative,336
2020-04-20,San Francisco,positive,28
2020-04-20,San Francisco,negative,388
2020-04-21,San Francisco,positive,42
2020-04-21,San Francisco,negative,467
2020-04-22,San Francisco,positive,63
2020-04-22,San Francisco,negative,212
2020-04-23,San Francisco,positive,19
2020-04-23,San Francisco,negative,264
2020-04-24,San Francisco,positive,45
2020-04-24,San Francisco,negative,831
2020-04-25,San Francisco,positive,30
2020-04-25,San Francisco,negative,797
2020-04-26,San Francisco,positive,14
2020-04-26,San Francisco,negative,191
