


"date","county","result","count"
"2020-02-28","San Mateo","positive",1
"2020-02-28","San Mateo","negative",3
"2020-02-29","San Mateo","positive",0
"2020-02-29","San Mateo","negative",1
"2020-03-01","San Mateo","positive",0
"2020-03-01","San Mateo","negative",1
"2020-03-02","San Mateo","positive",0
"2020-03-02","San Mateo","negative",1
"2020-03-03","San Mateo","positive",0
"2020-03-03","San Mateo","negative",0
"2020-03-04","San Mateo","positive",4
"2020-03-04","San Mateo","negative",3
"2020-03-05","San Mateo","positive",2
"2020-03-05","San Mateo","negative",5
"2020-03-06","San Mateo","positive",1
"2020-03-06","San Mateo","negative",9
"2020-03-07","San Mateo","positive",4
"2020-03-07","San Mateo","negative",4
"2020-03-08","San Mateo","positive",5
"2020-03-08","San Mateo","negative",2
"2020-03-09","San Mateo","positive",7
"2020-03-09","San Mateo","negative",28
"2020-03-10","San Mateo","positive",5
"2020-03-10","San Mateo","negative",22
"2020-03-11","San Mateo","positive",3
"2020-03-11","San Mateo","negative",48
"2020-03-12","San Mateo","positive",14
"2020-03-12","San Mateo","negative",56
"2020-03-13","San Mateo","positive",21
"2020-03-13","San Mateo","negative",80
"2020-03-14","San Mateo","positive",19
"2020-03-14","San Mateo","negative",46
"2020-03-15","San Mateo","positive",12
"2020-03-15","San Mateo","negative",114
"2020-03-16","San Mateo","positive",17
"2020-03-16","San Mateo","negative",175
"2020-03-17","San Mateo","positive",14
"2020-03-17","San Mateo","negative",236
"2020-03-18","San Mateo","positive",24
"2020-03-18","San Mateo","negative",155
"2020-03-19","San Mateo","positive",13
"2020-03-19","San Mateo","negative",202
"2020-03-20","San Mateo","positive",29
"2020-03-20","San Mateo","negative",210
"2020-03-21","San Mateo","positive",16
"2020-03-21","San Mateo","negative",176
"2020-03-22","San Mateo","positive",24
"2020-03-22","San Mateo","negative",242
"2020-03-23","San Mateo","positive",49
"2020-03-23","San Mateo","negative",386
"2020-03-24","San Mateo","positive",41
"2020-03-24","San Mateo","negative",315
"2020-03-25","San Mateo","positive",40
"2020-03-25","San Mateo","negative",253
"2020-03-26","San Mateo","positive",41
"2020-03-26","San Mateo","negative",277
"2020-03-27","San Mateo","positive",40
"2020-03-27","San Mateo","negative",248
"2020-03-28","San Mateo","positive",27
"2020-03-28","San Mateo","negative",149
"2020-03-29","San Mateo","positive",14
"2020-03-29","San Mateo","negative",89
"2020-03-30","San Mateo","positive",33
"2020-03-30","San Mateo","negative",259
"2020-03-31","San Mateo","positive",30
"2020-03-31","San Mateo","negative",205
"2020-04-01","San Mateo","positive",35
"2020-04-01","San Mateo","negative",244
"2020-04-02","San Mateo","positive",22
"2020-04-02","San Mateo","negative",224
"2020-04-03","San Mateo","positive",18
"2020-04-03","San Mateo","negative",223
"2020-04-04","San Mateo","positive",15
"2020-04-04","San Mateo","negative",105
"2020-04-05","San Mateo","positive",5
"2020-04-05","San Mateo","negative",82
"2020-04-06","San Mateo","positive",29
"2020-04-06","San Mateo","negative",244
"2020-04-07","San Mateo","positive",16
"2020-04-07","San Mateo","negative",229
"2020-04-08","San Mateo","positive",10
"2020-04-08","San Mateo","negative",237
"2020-04-09","San Mateo","positive",10
"2020-04-09","San Mateo","negative",238
"2020-04-10","San Mateo","positive",12
"2020-04-10","San Mateo","negative",258
"2020-04-11","San Mateo","positive",11
"2020-04-11","San Mateo","negative",123
"2020-04-12","San Mateo","positive",5
"2020-04-12","San Mateo","negative",96
"2020-04-13","San Mateo","positive",14
"2020-04-13","San Mateo","negative",258
"2020-04-14","San Mateo","positive",26
"2020-04-14","San Mateo","negative",273
"2020-04-15","San Mateo","positive",9
"2020-04-15","San Mateo","negative",150
"2020-04-16","San Mateo","positive",4
"2020-04-16","San Mateo","negative",63
