"""smoothed"" version of the captured data from Santa Cruz County",,,,,,,
"values in the ""actual.*"" columns are real data, copied from the Santa_Cruz sheet. The rest is ad hoc linear interpolation.",,,,,,,
"Notice the flatness of the data in the recent dates, ""negative"" column, where I'm _not_ doing any interpolation. I think a smoother has been in here before me.",,,,,,,
date,county,positive,negative,positive.cumul,negative.cumul,actual.positive.cumul,actual.negative.cumul
2020-03-26,Santa Cruz Smooth,1,1,1,1,,
2020-03-27,Santa Cruz Smooth,9.666666667,132.1666667,10.66666667,133.1666667,,
2020-03-28,Santa Cruz Smooth,9.666666667,132.1666667,20.33333333,265.3333333,,
2020-03-29,Santa Cruz Smooth,9.666666667,132.1666667,30,397.5,,
2020-03-30,Santa Cruz Smooth,9.666666667,132.1666667,39.66666667,529.6666667,,
2020-03-31,Santa Cruz Smooth,9.666666667,132.1666667,49.33333333,661.8333333,,
2020-04-01,Santa Cruz Smooth,9.666666667,132.1666667,59,794,59,794
2020-04-02,Santa Cruz Smooth,1,125.5714286,60,919.5714286,,
2020-04-03,Santa Cruz Smooth,1,125.5714286,61,1045.142857,,
2020-04-04,Santa Cruz Smooth,1,125.5714286,62,1170.714286,62,794
2020-04-05,Santa Cruz Smooth,7,125.5714286,69,1296.285714,69,794
2020-04-06,Santa Cruz Smooth,2,125.5714286,71,1421.857143,71,794
2020-04-07,Santa Cruz Smooth,5,125.5714286,76,1547.428571,76,794
2020-04-08,Santa Cruz Smooth,4,125.5714286,80,1673,80,1673
2020-04-09,Santa Cruz Smooth,2.666666667,205,82.66666667,1878,,
2020-04-10,Santa Cruz Smooth,2.666666667,205,85.33333333,2083,,
2020-04-11,Santa Cruz Smooth,2.666666667,205,88,2288,88,2288
2020-04-12,Santa Cruz Smooth,3,52,91,2340,91,2340
2020-04-13,Santa Cruz Smooth,1.666666667,40,92.66666667,2380,,
2020-04-14,Santa Cruz Smooth,1.666666667,40,94.33333333,2420,,
2020-04-15,Santa Cruz Smooth,1.666666667,40,96,2460,96,2460
2020-04-16,Santa Cruz Smooth,0,54,96,2514,96,2514
2020-04-17,Santa Cruz Smooth,2,46,98,2560,98,2560
2020-04-18,Santa Cruz Smooth,3,62,101,2622,101,2622
2020-04-19,Santa Cruz Smooth,3,50,104,2672,104,2672
2020-04-20,Santa Cruz Smooth,2,95,106,2767,106,2767
2020-04-21,Santa Cruz Smooth,2,81,108,2848,108,2848
2020-04-22,Santa Cruz Smooth,3,19,111,2867,111,2867
2020-04-23,Santa Cruz Smooth,3,86,114,2953,114,2953
