"date","county","result","count"
2020-03-01,"Contra Costa","positive",2
2020-03-01,"Contra Costa","negative",12
2020-03-02,"Contra Costa","positive",0
2020-03-02,"Contra Costa","negative",0
2020-03-03,"Contra Costa","positive",0
2020-03-03,"Contra Costa","negative",1
2020-03-04,"Contra Costa","positive",2
2020-03-04,"Contra Costa","negative",5
2020-03-05,"Contra Costa","positive",1
2020-03-05,"Contra Costa","negative",1
2020-03-06,"Contra Costa","positive",4
2020-03-06,"Contra Costa","negative",1
2020-03-07,"Contra Costa","positive",0
2020-03-07,"Contra Costa","negative",0
2020-03-08,"Contra Costa","positive",2
2020-03-08,"Contra Costa","negative",7
2020-03-09,"Contra Costa","positive",2
2020-03-09,"Contra Costa","negative",3
2020-03-10,"Contra Costa","positive",3
2020-03-10,"Contra Costa","negative",18
2020-03-11,"Contra Costa","positive",1
2020-03-11,"Contra Costa","negative",25
2020-03-12,"Contra Costa","positive",9
2020-03-12,"Contra Costa","negative",24
2020-03-13,"Contra Costa","positive",5
2020-03-13,"Contra Costa","negative",43
2020-03-14,"Contra Costa","positive",2
2020-03-14,"Contra Costa","negative",5
2020-03-15,"Contra Costa","positive",2
2020-03-15,"Contra Costa","negative",25
2020-03-16,"Contra Costa","positive",3
2020-03-16,"Contra Costa","negative",45
2020-03-17,"Contra Costa","positive",7
2020-03-17,"Contra Costa","negative",86
2020-03-18,"Contra Costa","positive",2
2020-03-18,"Contra Costa","negative",102
2020-03-19,"Contra Costa","positive",1
2020-03-19,"Contra Costa","negative",80
2020-03-20,"Contra Costa","positive",6
2020-03-20,"Contra Costa","negative",138
2020-03-21,"Contra Costa","positive",10
2020-03-21,"Contra Costa","negative",245
2020-03-22,"Contra Costa","positive",12
2020-03-22,"Contra Costa","negative",227
2020-03-23,"Contra Costa","positive",15
2020-03-23,"Contra Costa","negative",179
2020-03-24,"Contra Costa","positive",25
2020-03-24,"Contra Costa","negative",132
2020-03-25,"Contra Costa","positive",25
2020-03-25,"Contra Costa","negative",407
2020-03-26,"Contra Costa","positive",16
2020-03-26,"Contra Costa","negative",334
2020-03-27,"Contra Costa","positive",23
2020-03-27,"Contra Costa","negative",359
2020-03-28,"Contra Costa","positive",16
2020-03-28,"Contra Costa","negative",354
2020-03-29,"Contra Costa","positive",19
2020-03-29,"Contra Costa","negative",398
2020-03-30,"Contra Costa","positive",22
2020-03-30,"Contra Costa","negative",200
2020-03-31,"Contra Costa","positive",30
2020-03-31,"Contra Costa","negative",276
2020-04-01,"Contra Costa","positive",24
2020-04-01,"Contra Costa","negative",182
2020-04-02,"Contra Costa","positive",32
2020-04-02,"Contra Costa","negative",387
2020-04-03,"Contra Costa","positive",50
2020-04-03,"Contra Costa","negative",394
2020-04-04,"Contra Costa","positive",34
2020-04-04,"Contra Costa","negative",290
2020-04-05,"Contra Costa","positive",27
2020-04-05,"Contra Costa","negative",321
2020-04-06,"Contra Costa","positive",26
2020-04-06,"Contra Costa","negative",210
2020-04-07,"Contra Costa","positive",20
